Onset,Offset,Duration,Number of Faces,Gender,Age,Visual-Positive,Visual-Negative,Visual-Beauty
38.60,38.70,0.10,1,Male,37,0.00,0.00,0.49
38.70,38.80,0.10,1,Male,34,0.00,0.02,0.49
38.80,38.90,0.10,1,Male,34,0.00,0.05,0.49
38.90,39.00,0.10,1,Male,32,0.00,0.01,0.51
39.00,39.10,0.10,1,Male,40,0.01,0.74,0.45
39.10,39.20,0.10,1,Male,37,0.00,0.92,0.45
39.20,39.30,0.10,1,Male,35,0.00,1.00,0.46
39.30,39.40,0.10,1,Male,35,0.00,1.00,0.47
39.40,39.50,0.10,1,Male,36,0.00,0.99,0.48
39.50,39.60,0.10,1,Male,35,0.00,0.30,0.49
39.60,39.70,0.10,1,Male,33,0.00,0.04,0.49
39.70,39.80,0.10,1,Male,35,0.00,0.05,0.46
39.80,39.90,0.10,1,Male,33,0.00,0.93,0.48
39.90,40.00,0.10,1,Male,34,0.00,0.12,0.47
40.00,40.10,0.10,1,Male,33,0.00,0.04,0.46
40.10,40.20,0.10,1,Male,32,0.00,0.02,0.46
40.20,40.30,0.10,1,Male,31,0.00,0.31,0.46
40.30,40.40,0.10,1,Male,32,0.00,0.96,0.48
40.40,40.50,0.10,1,Male,34,0.00,0.86,0.47
40.50,40.60,0.10,1,Male,29,0.00,0.99,0.46
40.60,40.70,0.10,1,Male,34,0.00,0.97,0.46
40.70,40.80,0.10,1,Male,31,0.00,0.98,0.45
40.80,40.90,0.10,1,Male,33,0.00,0.92,0.42
40.90,41.00,0.10,1,Male,35,0.07,0.63,0.39
41.00,41.10,0.10,1,Male,33,0.09,0.14,0.40
41.10,41.20,0.10,1,Male,34,0.01,0.03,0.41
41.20,41.30,0.10,1,Male,31,0.00,0.01,0.40
41.30,41.40,0.10,1,Male,36,0.00,0.07,0.43
41.40,41.50,0.10,1,Male,40,0.00,0.02,0.43
41.50,41.60,0.10,1,Male,30,0.00,0.00,0.46
41.60,41.70,0.10,1,Male,35,0.00,0.00,0.47
41.70,41.80,0.10,1,Male,30,0.00,0.00,0.52
41.80,41.90,0.10,1,Male,34,0.00,0.01,0.47
41.90,42.00,0.10,1,Male,34,0.00,0.80,0.49
42.00,42.10,0.10,1,Male,31,0.00,0.02,0.48
42.10,42.20,0.10,1,Male,34,0.00,0.39,0.50
42.20,42.30,0.10,1,Male,29,0.00,0.58,0.51
42.30,42.40,0.10,1,Male,32,0.00,0.37,0.51
42.40,42.50,0.10,1,Male,35,0.00,0.77,0.50
42.50,42.60,0.10,1,Male,36,0.01,0.47,0.42
42.60,42.70,0.10,1,Male,34,0.00,0.05,0.41
42.70,42.80,0.10,1,Male,34,0.13,0.19,0.41
42.80,42.90,0.10,1,Male,33,0.06,0.24,0.43
42.90,43.00,0.10,1,Male,32,0.00,0.98,0.41
43.00,43.10,0.10,1,Male,32,0.01,0.92,0.43
43.10,43.20,0.10,1,Male,30,0.00,0.97,0.43
43.20,43.30,0.10,1,Male,37,0.00,1.00,0.47
43.30,43.40,0.10,1,Male,42,0.00,0.01,0.44
43.40,43.50,0.10,1,Male,37,0.00,0.00,0.42
43.50,43.60,0.10,1,Male,37,0.01,0.60,0.42
43.60,43.70,0.10,1,Male,35,0.00,0.00,0.41
43.70,43.80,0.10,1,Male,37,0.02,0.94,0.40
43.80,43.90,0.10,1,Male,33,0.00,0.99,0.39
43.90,44.00,0.10,1,Male,33,0.58,0.30,0.40
